OBJECTID,City,ZIP Code,LICENSED_CERTIFIED,FLAG,T18_19,FACID,FAC_STATUS_TYPE_CODE,ASPEN_FACID,CCN,TERMINAT_SW,PARTICIPATION_DATE,APPROVAL_DATE,NPI,CAN_BE_DEEMED_FAC_TYPE,CAN_BE_CERTIFIED_FAC_TYPE,DEEMED,AO_CD,DMG_EFCTV_DT,AO_TRMNTN_DT,AO_NAME,FACNAME,FAC_TYPE_CODE,FAC_FDR,LTC,CAPACITY,ADDRESS,ZIP9,FACADMIN,CONTACT_EMAIL,CONTACT_FAX,CONTACT_PHONE_NUMBER,COUNTY_CODE,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,ISFACMAIN,PARENT_FACID,FAC_FAC_RELATIONSHIP_TYPE_CODE,START_DATE,LICENSE_NUMBER,BUSINESS_NAME,LICENSE_STATUS_DESCRIPTION,INITIAL_LICENSE_DATE,LICENSE_EFFECTIVE_DATE,LICENSE_EXPIRATION_DATE,ENTITY_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION,HCAI_ID,CCLHO_CODE,CCLHO_NAME,FIPS_COUNTY_CODE,BIRTHING_FACILITY_FLAG,TRAUMA_PED_CTR,TRAUMA_CTR,TYPE_OF_CARE,CRITICAL_ACCESS_HOSPITAL,DATA_DATE,x,y
125725,LANCASTER,93534,LICENSED AND CERTIFIED,,,930000008,OPEN,CA930000008,050056,,1966-07-01T00:00:00,2023-02-10T00:00:00,1366419517,Y,Y,1,1,2022-10-22T00:00:00,,JC,ANTELOPE VALLEY MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,390,1600 W AVENUE J,,"MIRAZBEGIAN, EDWARD",EDWARD.MIRZABEGIAN@AVMC.ORG,(661) 949-5510,(661) 949-5000,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000008,ANTELOPE VALLEY HEALTHCARE DISTRICT,ACTIVE,1955-09-27T00:00:00,2024-11-01T00:00:00,2025-10-31T00:00:00,HEALTH CARE DISTRICT,34.68935389,-118.1585617,"(-118.1585617,34.689353892)",106190034,19,LOS ANGELES,6037,YES,,LEVEL II,,,2025-03-17T00:00:00,6514002.1644603,2073290.28775014
125726,MONTEBELLO,90640,LICENSED AND CERTIFIED,,,930000012,OPEN,CA930000012,050350,,1966-07-01T00:00:00,2019-08-13T00:00:00,,Y,Y,1,15,2019-03-12T00:00:00,,DNV GL,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,192,309 W BEVERLY BLVD,4308,"RAFFOUL, JOHN",BRYANTMC@AH.ORG,,(323) 268-5000,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,930000191,CONSOLIDATED,07-Sep-23,930000195,WHITE MEMORIAL MEDICAL CENTER,ACTIVE,1946-01-01T00:00:00,2024-11-01T00:00:00,2025-10-31T00:00:00,NONPROFIT CORP,34.015014,-118.100637,"(-118.100637,34.015014)",106190081,19,LOS ANGELES,6037,YES,,,,,2025-03-17T00:00:00,6531168.93393247,1827861.30846472
125727,AVALON,90704,LICENSED AND CERTIFIED,,,930000013,OPEN,CA930000013,051307,,2001-11-30T00:00:00,,1346250347,Y,Y,0,,,,,CATALINA ISLAND MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,8,100 FALLS CANYON RD.,1563,"PARET, JASON",JPARET@CI-HEALTH.ORG,(310) 510-2938,(310) 510-0700,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000010,AVALON MEDICAL DEVELOPMENT CORPORATION,ACTIVE,1946-01-01T00:00:00,2025-01-10T00:00:00,2025-12-31T00:00:00,NONPROFIT CORP,33.339267,-118.3307535,"(-118.3307535,33.339267)",106190045,19,LOS ANGELES,6037,,,,,Y,2025-03-17T00:00:00,6460623.76859264,1582083.70257998
125728,LOS ANGELES,90026,LICENSED AND CERTIFIED,,,930000014,OPEN,CA930000014,052031,,1984-09-01T00:00:00,2023-07-22T00:00:00,1851368369,Y,Y,1,1,2023-04-15T00:00:00,,JC,BARLOW RESPIRATORY HOSPITAL,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,105,2000 STADIUM WAY,2606,"MOHAN, AMIT",AMOHAN@BARLOWHOSPITAL.ORG,(213) 202-6802,(213) 202-6886,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000011,BARLOW RESPIRATORY HOSPITAL,ACTIVE,1946-01-01T00:00:00,2024-11-01T00:00:00,2025-10-31T00:00:00,NONPROFIT CORP,34.075809,-118.2481425,"(-118.2481425,34.075809)",106190052,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6486522.52880289,1850063.28801081
125730,CULVER CITY,90232,LICENSED AND CERTIFIED,USE PARENT MATCH,,930000015,OPEN,CA930000064,050135,,1976-01-19T00:00:00,2023-09-14T00:00:00,1245224732,Y,Y,1,1,2023-02-18T00:00:00,,JC,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,268,3828 DELMAS TER,2713,"RAMIREZ, OMAR",MARIA.PADILLA@ALTAHOSPITALS.COM,(310) 202-4141,(310) 840-7089,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,930000064,CONSOLIDATED,01-Mar-13,930000066,"SOUTHERN CALIFORNIA HEALTHCARE SYSTEM, INC.",ACTIVE,1963-02-08T00:00:00,2024-05-24T00:00:00,2025-02-24T00:00:00,PROFIT CORP,34.023222,-118.3969305,"(-118.3969305,34.023222)",106190110,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6441390.19059005,1831070.57796481
125731,BELLFLOWER,90706,LICENSED AND CERTIFIED,USE PARENT MATCH,,930000017,OPEN,CA930000085,050663,,1983-10-19T00:00:00,2023-05-06T00:00:00,1922001809,Y,Y,1,1,2022-12-24T00:00:00,,JC,LOS ANGELES COMMUNITY HOSPITAL AT BELLFLOWER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,0,9542 ARTESIA BLVD,6511,"HERNANDEZ, HECTOR",JLINHARES.BMC@PACIFICHEALTHCORP.COM,(562) 925-4413,(562) 925-8355,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,930000085,CONSOLIDATED,10-Aug-15,930000039,"ALTA LOS ANGELES HOSPITALS, INC.",ACTIVE,1957-10-24T00:00:00,2024-03-15T00:00:00,2025-03-14T00:00:00,PROFIT CORP,33.87468014,-118.1296831,"(-118.1296831,33.874680139)",106190066,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6522300.71807313,1776800.84398481
125732,POMONA,91767,LICENSED AND CERTIFIED,,,930000020,OPEN,CA93000020,050782,,2016-04-01T00:00:00,2023-12-11T00:00:00,1952777245,Y,Y,1,1,2023-09-29T00:00:00,,JC,CASA COLINA HOSPITAL,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,99,255 E BONITA AVE,1923,"LINDEN, KELLY",DSCHULTZ@CASACOLINA.ORG,(909) 596-0153,(909) 596-7733,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000026,CASA COLINA HOSPITAL AND CENTERS FOR HEALTHCARE,ACTIVE,1961-02-28T00:00:00,2024-11-01T00:00:00,2025-10-31T00:00:00,NONPROFIT CORP,34.09630029,-117.7456368,"(-117.7456368,34.096300289)",106190137,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6638675.72285546,1857525.14185348
125735,INGLEWOOD,90301,LICENSED AND CERTIFIED,,,930000022,OPEN,CA93000022,050739,,2004-11-19T00:00:00,2023-10-12T00:00:00,1336328244,Y,Y,1,1,2023-07-18T00:00:00,,JC,CENTINELA HOSPITAL MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,362,555 E HARDY ST,4011,"NASER, MOHAMMAD",KPRICEGHARZEDDINE@PRIMEHEALTHCARE.COM,(310) 677-0535,(310) 680-4514,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000027,"PRIME HEALTHCARE CENTINELA, LLC",ACTIVE,1946-01-01T00:00:00,2025-02-01T00:00:00,2026-01-31T00:00:00,LIMITED LIABILITY COMPANY,33.949135,-118.3482371,"(-118.3482371,33.949134996)",106190148,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6456051.62091281,1804054.23960914
125736,PASADENA,91105,LICENSED AND CERTIFIED,,,930000026,OPEN,CA930000026,050438,,1966-07-01T00:00:00,2023-09-08T00:00:00,1407828429,Y,Y,1,1,2023-06-17T00:00:00,,JC,HUNTINGTON HOSPITAL,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,493,100 W CALIFORNIA BLVD,3010,"MORGAN, LORI J",JINHEE.NGUYEN@HUNTINGTONHEALTH.ORG,,(626) 397-3019,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000372,"PASADENA HOSPITAL ASSOCIATION, LTD",ACTIVE,1946-01-01T00:00:00,2025-03-01T00:00:00,2026-02-28T00:00:00,NONPROFIT CORP,34.133418,-118.152207,"(-118.152207,34.133418)",106190400,19,LOS ANGELES,6037,YES,,LEVEL II,,,2025-03-17T00:00:00,6515606.06249923,1870970.40334873
125737,PANORAMA CITY,91402,LICENSED AND CERTIFIED,,,930000027,OPEN,CA930000027,050704,,1992-11-30T00:00:00,2023-07-07T00:00:00,1750365375,Y,Y,1,1,2023-02-25T00:00:00,,JC,MISSION COMMUNITY HOSPITAL,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,85,14850 ROSCOE BLVD,4618,"THEIRING, JAMES",JTHEIRING@MCHONLINE.ORG,(818) 904-3529,(818) 787-2222,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000101,"DEANCO HEALTHCARE, LLC",ACTIVE,1965-08-13T00:00:00,2024-07-12T00:00:00,2025-07-11T00:00:00,LIMITED LIABILITY COMPANY,34.220412,-118.456542,"(-118.456542,34.220412)",106190524,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6423652.97475222,1902907.65541898
125738,WEST HILLS,91307,LICENSED AND CERTIFIED,,,930000028,OPEN,CA930014565,050481,,1969-12-03T00:00:00,2024-10-25T00:00:00,1023065729,Y,Y,1,1,2022-08-18T00:00:00,,JC,UCLA WEST VALLEY MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,260,7300 MEDICAL CENTER DR,1902,"SPISSO, JOHNESE",JBERGEN@HCAHEALTHCARE.COM,(310) 794-8477,(310) 948-1866,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000189,THE REGENTS OF  THE UNIVERSITY OF CA ON BEHALF OF UCLA HEALTH SYSTEM,ACTIVE,1962-11-07T00:00:00,2025-02-24T00:00:00,2026-02-23T00:00:00,PROFIT CORP,34.202925,-118.628667,"(-118.628667,34.202925)",106190859,19,LOS ANGELES,6037,YES,,,,,2025-03-17T00:00:00,6371579.97752047,1896824.82965815
125740,LOS ANGELES,90067,LICENSED AND CERTIFIED,,,930000031,OPEN,CA93000031,053039,,2016-09-20T00:00:00,2023-04-07T00:00:00,1265814065,Y,Y,1,1,2023-01-28T00:00:00,,JC,"CALIFORNIA REHABILITATION INSTITUTE, LLC",GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,138,2070 CENTURY PARK E,1907,"HALL, GEOFFREY",AJAWHARJIAN@SELECTMEDICAL.COM,(424) 522-7099,(424) 522-7879,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000029,"CALIFORNIA REHABILITATION INSTITUTE, LLC",ACTIVE,1972-04-27T00:00:00,2024-07-19T00:00:00,2025-07-18T00:00:00,LIMITED LIABILITY COMPANY,34.05906,-118.412271,"(-118.412271,34.05906)",106190155,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6436795.28442556,1844131.33301122
125741,PARAMOUNT,90723,LICENSED ONLY,,,930000033,OPEN,CA93000033,,Y,,,,Y,Y,1,1,1998-09-25T00:00:00,,JC,KINDRED HOSPITAL PARAMOUNT,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,183,16453 COLORADO AVE,5011,"APODACA, MARK",MARK.APODACA@KINDRED.COM,(562) 531-4699,(562) 531-3110,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000088,"KND REAL ESTATE 40, LLC",ACTIVE,2004-06-30T00:00:00,2024-06-30T00:00:00,2025-06-29T00:00:00,LIMITED LIABILITY COMPANY,33.884334,-118.1621475,"(-118.1621475,33.884334)",106190599,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6512451.66329622,1780328.4179664
125742,LOS ANGELES,90027,LICENSED AND CERTIFIED,,,930000034,OPEN,CA930000034,053302,,1984-03-01T00:00:00,2021-08-05T00:00:00,1124073366,Y,Y,1,15,2021-06-10T00:00:00,,DNV GL,CHILDREN'S HOSPITAL LOS ANGELES,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,438,4650 W SUNSET BLVD,6062,"VIVIANO, PAUL  S",ACCRLICENSE@CHLA.USC.EDU,(323) 361-4002,(323) 208-2860,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000032,CHILDREN'S HOSPITAL LOS ANGELES,ACTIVE,1946-01-01T00:00:00,2025-01-01T00:00:00,2025-12-31T00:00:00,NONPROFIT CORP,34.097868,-118.290636,"(-118.290636,34.097868)",106190170,19,LOS ANGELES,6037,,LEVEL I PED,,,,2025-03-17T00:00:00,6473677.6132198,1858125.43002298
125743,LOS ANGELES,90026,LICENSED AND CERTIFIED,,,930000035,OPEN,CA93000035,050763,,2008-11-25T00:00:00,2023-12-04T00:00:00,1780183335,Y,Y,1,1,2023-09-16T00:00:00,,JC,L.A. DOWNTOWN MEDICAL CENTER,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,122,1711 W TEMPLE ST,5421,"NELSON, WILLIAM A",,(213) 484-3552,,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000137,"L.A. DOWNTOWN MEDICAL CENTER, LLC",ACTIVE,1974-10-21T00:00:00,2024-11-18T00:00:00,2025-11-17T00:00:00,LIMITED LIABILITY COMPANY,34.068897,-118.263366,"(-118.263366,34.068897)",106190661,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6481905.8684168,1847559.61749323
125744,DUARTE,91010,LICENSED AND CERTIFIED,,,930000036,OPEN,CA9300036,050146,,1966-07-01T00:00:00,2023-09-25T00:00:00,1114109337,Y,Y,1,1,2023-06-10T00:00:00,,JC,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,217,1500 DUARTE RD,3012,"CALIGIURI, MICHAEL",NLEEALLEN@COH.ORG,,(626) 977-1675,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000033,CITY OF HOPE NATIONAL MEDICAL CENTER,ACTIVE,1946-03-08T00:00:00,2025-01-30T00:00:00,2025-10-31T00:00:00,NONPROFIT CORP,34.13115,-117.97281,"(-117.97281,34.13115)",106190176,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6569895.08121756,1870111.27547382
125745,NORWALK,90650,LICENSED AND CERTIFIED,,,930000038,OPEN,CA93000038,050771,,2011-08-15T00:00:00,2023-09-14T00:00:00,1194016923,Y,Y,1,1,2023-04-07T00:00:00,,JC,COAST PLAZA HOSPITAL,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,117,13100 STUDEBAKER RD,2531,"CARRASCO, VICTOR",VCARRASCO@PIPELINEHEALTH.US,(562) 868-3198,(562) 868-3751,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000162,"CPH HOSPITAL MANAGEMENT, LLC",ACTIVE,1958-04-10T00:00:00,2024-11-26T00:00:00,2025-11-25T00:00:00,LIMITED LIABILITY COMPANY,33.912585,-118.098468,"(-118.098468,33.912585)",106190766,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6531789.72632605,1790584.55887139
125746,GARDENA,90247,LICENSED AND CERTIFIED,,,930000039,OPEN,CA93000039,052050,,2006-10-01T00:00:00,2023-07-22T00:00:00,,Y,Y,1,1,2023-05-04T00:00:00,,JC,KINDRED HOSPITAL SOUTH BAY,GACH,GENERAL ACUTE CARE HOSPITAL,NON-LTC,54,1246 W 155TH ST,4011,"KERR, MICHAEL",MARK.APODACA@KINDRED.COM,(310) 768-2265,(714) 267-7762,200,LOS ANGELES,93,LA ACUTE/ANCILLARY,Y,,PARENT,,930000037,"KND DEVELOPMENT 53, L.L.C.",ACTIVE,1957-07-17T00:00:00,2024-11-01T00:00:00,2025-10-31T00:00:00,LIMITED LIABILITY COMPANY,33.890004,-118.2973995,"(-118.2973995,33.890004)",106190196,19,LOS ANGELES,6037,,,,,,2025-03-17T00:00:00,6471406.17878631,1782485.69810064
